total_games,1000000
state,p1_wins,p2_wins,draws
121121220,0,1152,0
010010022,621,591,136
010110022,316,467,0
010110222,0,621,0
000120112,308,433,0
000122112,312,308,0
001122112,383,439,0
201122112,0,1256,0
100001020,2105,1413,417
102021021,0,421,206
102121021,0,885,0
102121221,0,1236,0
100000200,8223,4120,1552
100000210,2112,1044,803
120000210,655,148,522
121000210,256,0,519
121200210,396,0,180
121200211,779,0,0
121220211,1591,0,0
121221211,4795,0,0
002111200,831,0,0
200210100,1095,90,124
200210110,719,58,0
202210110,488,101,0
202210111,571,0,0
000021001,2175,1444,412
000021021,626,433,270
100021021,203,468,140
100021221,274,316,0
101021221,567,0,0
120100200,603,382,422
121100200,148,253,401
121100202,0,193,402
121110202,0,391,416
001002102,1142,228,0
011002102,612,212,0
111002122,614,0,0
100020001,1491,2049,383
120020001,555,684,126
120020011,529,183,136
120220011,505,91,0
120221011,788,0,0
122221011,1624,0,0
000110202,795,431,172
001110202,339,327,149
201110202,490,91,0
201111202,643,0,0
002001211,136,721,0
022001211,198,438,0
022101211,0,852,0
222101211,0,1210,0
000210210,896,331,129
001210210,341,320,135
121000020,722,627,0
121100020,316,527,0
121100022,277,329,0
121101022,0,794,0
121121022,0,1190,0
100022010,527,649,126
120122010,421,0,173
120122110,621,0,0
000002001,8756,2664,2346
000102001,2257,476,1180
000122001,712,227,361
000122101,619,82,135
002122101,617,0,0
012122101,806,0,0
212122101,1572,0,0
000012100,2954,761,185
200012100,985,175,122
200012101,595,71,127
200212101,590,0,0
210212101,798,0,0
201010000,2830,714,367
201010200,507,511,275
221010210,224,220,210
221110210,385,0,416
221112210,0,0,1580
200100000,6817,4513,2363
200101000,2150,1612,208
200121000,316,897,129
201121000,347,487,0
201121200,397,200,0
211121200,393,399,0
001200001,2721,1131,0
001200201,938,408,0
001201201,779,0,0
201210000,878,418,0
201210001,466,329,0
201210201,0,636,0
001000012,2118,1036,783
201000112,408,454,0
201200112,414,198,0
201201112,383,378,0
221201112,1592,0,0
200210010,889,439,0
200210011,390,396,0
202210011,398,190,0
212210011,579,0,0
110020200,711,613,0
110120200,341,452,0
110120202,297,301,0
110121202,0,793,0
002012121,402,0,206
102012121,611,0,0
100202010,821,492,0
100202110,322,445,0
100222110,0,609,0
000010021,3131,270,579
000010221,1080,85,142
201002010,758,293,283
211002010,308,335,146
210110022,512,87,0
210111022,602,0,0
101000200,2480,620,760
101200200,1094,94,131
101200210,555,75,132
101220210,463,100,0
101220211,367,420,0
200010201,509,518,285
200110201,429,68,245
200112211,369,0,416
201001020,946,327,0
211001020,492,325,0
211201020,463,104,0
211201120,755,0,0
211221120,1574,0,0
000012000,10186,2238,1595
000112000,2123,1004,783
000112002,645,564,127
000112102,429,314,0
021112102,602,0,0
000201000,8232,2971,2739
000201001,2739,922,431
000201021,1010,110,277
000211021,576,70,129
000211221,478,117,0
100211221,572,0,0
200100001,1810,986,1176
220100001,672,547,123
220100011,345,332,135
220100211,202,189,201
220101211,364,374,0
010001220,652,636,0
011001220,395,377,0
011021220,482,104,0
211121220,1586,0,0
220000110,874,481,0
221000110,599,130,0
221200110,589,0,0
101200120,591,205,0
101200122,616,0,0
111200122,589,0,0
201020110,319,436,0
201220110,296,290,0
201220111,605,0,0
001002012,966,202,118
011002012,602,200,0
011202012,475,93,0
011202112,378,387,0
011222112,0,1175,0
